Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~waterLEDs.PrjPcb|ReportField=ProjectFullPath~F:\AD_Project\waterLEDs\waterLEDs.PrjPcb|ReportField=Title~Bill of Materials For Project [waterLEDs.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~33|ReportField=ReportTime~15:58:57|ReportField=ReportDate~2016/10/25|ReportField=ReportDateTime~2016/10/25 15:58:57|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2016/10/25|ReportField=CurrentTime~15:53:57|ReportField=Date~|ReportField=DocumentFullPathAndName~F:\AD_Project\waterLEDs\waterLEDSheet.SchDoc|ReportField=DocumentName~waterLEDSheet.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2016/10/15|ReportField=Organization~|ReportField=ProjectName~waterLEDs.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~waterLEDs.PrjPcb|ReportField=DataSourceFullPath~F:\AD_Project\waterLEDs\waterLEDs.PrjPcb
1|LED0|Typical INFRARED GaAs LED|D0, D1, D2, D3, D4, D5, D6, D7|C1210_M|LED0|8
2||Header, 3-Pin|Key|HDR1X3|Header 3|1
3|NUM|Header, 10-Pin|LEDArray|HDR1X10|Header 10|1
4||Header, 2-Pin|LED_EN|HDR1X2|Header 2|1
5|Header 2|Header, 2-Pin|Power|HDR1X2|Header 2|1
6|QNPN|NPN Bipolar Transistor|Q0, Q1|SOT23_M|QNPN|2
7|510|Resistor|R0, R1, R2, R3, R4, R5, R6, R7|6-0805_N|Res2|8
8||Resistor|R8, R9, R10, R11|6-0805_N|Res2|4
9|Res3|Resistor|R12|6-0805_N|Res3|1
10|Res2|Resistor|R16, R17|6-0805_N|Res2|2
11|SW-PB|Switch|k1, k2|KEY_SODFL_2-Leads|SW-PB|2
12||Variable Resistor|lightCase|RAD-0.2|Res Adj1|1
13|Component_1||smg|Nixie_light|Component_1|1
